,product_id,name,product_sub_category_id,id
0,168308, Пакет-майка см х см,906,1260627 1455 205
1,134832, Перекись водорода р-р наружн. % фл.полимерн. мл,404,198287 279 93
2,101384, Салициловая кислота р-р спирт % фл мл N,404,2418385 848 93
3,168570, Пакет см х см,906,1285774 1511 205
4,168319, Пакет см х см,906,1810323 1501 205
5,37505, Кеппра таб.п.п.о.мг №,641,2435604 66 146
6,146960," Пакет ""Аптека Озерки""  х см",906,2030547 1146 205
7,158662, Карта Забота о Здоровье,855,785614 859 194
8,128700, Ранитидин тб мг уп N,595,514490 350 135
9,52539," Платки носовые ""Зева Кидс"" №",721,2109210 324 167
10,94270, х см №,-1,1993783 303 -1
11,77426," Иглы Микро-Файн д/шприц-ручки G ,*мм N",759,2742478 105 176
12,92475, Дорзопт капли глазные % мл. фл.-кап. N,575,87961 596 129
13,158643, PL Шприц одноразовый -комп. мл №,762,2650603 840 176
14,158600, PL Шприц одноразовый -комп. мл №,762,2605787 457 176
15,106230, Аллапинин тб мг N,738,364724 268 170
16,110629, Корвалол капли д/приема внутрь мл,738,364724 268 170
17,89410, Азафен тб мг №,635,1347624 1495 146
18,106860, PL Контейнер д/биопроб универс. мл полим. с крыш. в инд. уп.,711,2316412 132 165
19,47251, PL Контейнер д/биопроб стер. мл с крыш и ложкой в инд.уп,711,2406054 840 165
20,154704," Метотрексат-Эбеве р-р д/и мг/мл шприц ,мл №",642,2691621 269 147
21,39811, PL Салфетка антисептическая спиртовая хсм №,404,258137 316 93
22,143709, PL вода питьевая негазированная мл,569,966963 1566 128
23,25965, Калия перманганат пор фл г N,404,1190940 363 93
24,130823, Регидрон пор дозир пак .г N,720,2035500 313 166
25,158645, PL Шприц одноразовый -комп. мл №,762,258137 316 176
26,54512, Микстура от кашля для детей сухая пор д/оралн р-ра .г пак N,700,2374969 331 162
27,79879, Азитрал капс мг N,403,2053755 840 92
28,100667, PL Аскорбиновая кислота с глюкозой тб мг №,429,2423325 840 101
29,87332, Сульфацил натрия капли глазн % тюб-капел .мл N,575,1988399 992 129
30,34104, Флуконазол капс. мг №,622,2746014 43 142
31,21249, Горчичник пакет N,610,2743112 275 140
32,158659, PL Шприц одноразовый -комп. мл №,762,2743112 275 176
33,85136,nan,674,2742847 325 154
34,76206, Трусопт капли глазн % мл фл N,575,2745150 311 129
35,114366, Винпоцетин таб.мг №,639,2745150 311 146
36,34531, Глюкованс табл. п.о.  мг/ мг №,462,2745150 311 108
37,27063, Нафтизин р-р .% фл/кап мл N,701,2742588 52 162
38,20236, Линекс Форте капс. №,600,2745282 117 135
39,99525, Смекта Апельсин пор.  гр. N,599,2745282 117 135
40,116091, Аевит капс N,-1,2742588 52 -1
41,75421, таб.п.п.о.№,459,2741963 604 108
42,97117, Цитрамон П таб.№,397,2744159 351 90
43,41096,nan,404,2743009 331 93
44,160521, Минки Ватные палочки № стакан,726,2742839 344 167
45,94899, Эвкалипта настойка жидк фл мл N,613,2745426 276 140
46,67922, Аскорбиновая кислота  драже мг N,438,2745426 276 101
47,58836," Фраксипарин р-р для п/к введ.МЕ шприц ,мл №",738,2744618 281 170
48,105497, Тромбо АСС тб п/о кишечнораств мг N,738,2745470 924 170
49,98991, Магний-Диаспорал  гран.д/пригот.р-ра д/приема внутрь мг № пакет,437,2745171 311 101
50,90247, Меновазин раствор д/наружн. применен. спиртовой фл. мл,399,2744549 897 90
51,28232, Верошпирон таб.мг №,735,2744549 897 170
52,120443, Дюфалак сироп мг/мл фл.мл,598,2745757 344 135
53,60404," PL Салфетка антисептическая спиртовая ,х,см №",404,2741912 1295 93
54,19578, Шприц одноразовый SF Medical -комп.мл №/СТМ,762,2741912 1295 176
55,124839," PL Аскорбинка порошок пак.,г №",429,2743825 1388 101
56,42409, Дексаметазон р-р д/ин.  мг/мл. амп.  мл. №,459,2741912 1295 108
57,77808, Энтеросгель паста д/приема внутрь туба  гр.,599,2744477 1000 135
58,60228, Ацетилсалициловая кислота таб.мг №,696,2743625 841 162
59,131224," Риностоп капли наз. ,% фл. мл",701,2742878 1065 162
60,110342, Фосфалюгель гель г N,595,2743825 1388 135
61,124535, Кэа Хэлс Сенна [листья фильтр-пакеты .г] N,615,2746248 1068 140
62,51883, Календулы настойка жидк фл мл N,613,2743443 962 140
63,79735, Сенаде тб .мг N,598,2745867 1142 135
64,68982, PL Кальция глюконат таб.мг №,437,2744120 1178 101
65,135018, Дьюралан мг шприц мл уп.№,646,2745721 52 148
66,63136," Крем ""Нега"" массажный туба мл N",548,2743172 1068 124
67,141455, Дона р-р для в/м введения мг амп мл №,644,2745721 52 148
68,148629," Пульмикорт сусп д/инг ,мг/мл контейнер мл N",395,2743002 1299 89
69,55357, Слабилен капли .% мл фл N,598,2743090 1068 135
70,135427, Тауфон капли глазн % фл  мл. пласт. флак.-кап.,575,2743090 1068 129
71,19510," Пульмикорт сусп д/инг ,мг/мл контейнер мл N",395,2742094 841 89
72,66818, PL Аскорбинка с сахаром таб. Клубника №,429,2743595 1007 101
73,141996, Ямми Карамель леденцовая с витамином С Вишня г,567,2743595 1007 128
74,19626, Прополиса настойка жидк.фл.мл №,706,2745991 1566 163
75,161562," PL Бальзам для губ Фруктовый микс ,г",481,2743825 1388 113
76,162991, ЯБудуЖитьЛет Гематоген спортивный г,433,1062476 1559 101
77,155688, Ит Ми Фрутилад батончик Черника г,571,2449508 653 128
78,155686, Ит Ми Фрутилад батончик Апельсин-Брусника г,571,2449508 653 128
79,87663," Глаупрост капли глазные ,% фл.-кап. ,мл №",575,492440 281 129
80,145608, Диафлекс Ромфарм капс. мг №,647,2103562 344 148
81,160782, Гроссхертц Кальций Д таб.№,644,822618 863 148
82,153569, Минки Платочки бумажные носовые №,721,764373 656 167
83,163599, Виш Формула Летучая мышь Маска-лифтинг маска для контура глаз мл,505,2718357 1496 116
84,104603, Неокейт LCP смесь сухая для питания детей раннего возраста г,787,1850441 1517 179
85,50859, Мукалтин тб мг N,700,2447312 1974 162
86,31703, ТераФлю от гриппа и простуды пор.д/приг.р-ра д/приема внутрь Лимон №,703,2447312 1974 162
87,108808," Зубная нить ""Oral-B"" Essential Floss Мята м уп №",536,2453298 282 121
88,127911, Румалон р-р для в/м введ. мл №,644,1250497 144 148
89,141757," Шприцы ""BD Emerald"" мл с иглой ,хмм -х комп. №",762,2602900 103 176
90,94105, Нью Лайф Бинт марл мед стер м х см уп N/СТМ,671,2688769 114 154
91,112212, Триган-Д таб.№,397,2447312 1974 90
92,95548, Кеналог  сусп. д/ин.  мг/мл. амп.  мл. №,647,1344044 1482 148
93,357926, Зизу Платочки бумажные носовые №,721,2596529 1749 167
94,115144," Платки носовые ""Зева Делюкс Ромашка"" №",721,1260164 1461 167
95,32087, Ямми Турбогематоген детский г,433,2574737 2000 101
96,80093, Фурацилин тб мг N,706,2447312 1974 163
97,71618," Перчатки ""Peha-soft Vinyl"" виниловые н/стерил.без пудры р-р S №",675,1369038 1482 155
98,88379,nan,674,2276155 116 154
99,114395, Нимесил гран.д/приг.суспен.д/приема внутрь мг пак.г №,647,1369038 1482 148
100,154006, Гроссхертц Гинкго Билоба капс.№,639,1126441 916 146
101,65122, Пустырник настойка фл.мл,613,957182 105 140
102,166155, ЯБудуЖитьЛет Л-Карнитин и Таурин пор. № саше,440,5314 325 101
103,94047, Пиона настойка жидк фл мл N,613,957182 105 140
104,145106, Боярышник [настойка фл мл] N,613,957182 105 140
105,140683, Престариум А тб мг №,738,1964003 117 170
106,66072, Фурадонин Авексима таб.мг №,628,1155419 887 144
107,74451, Амоксиклав таб.п.п.о.мг+мг №,403,1155419 887 92
108,91243, Цитрамон П таб.№ Renewal,397,1155419 887 90
109,156345, PL Гематоген г,433,2339370 127 101
110,110112," Минеральная вода Зайечицкая горькая ,л.",569,1394183 1482 128
111,154059, Зизу Салфетки влажные антибактериальные №,400,1464494 1515 91
112,34128," Стики Пластырь бактерицидный невидимый ,х,см №",670,1545800 1482 154
113,79642, Парацетамол таб.мг №,696,2414460 1973 162
114,215298, Ибупрофен табл.п.о. мг N,397,2414460 1973 90
115,75266, PL Комплекс Расторопша-Овес капс.№,432,1200213 965 101
116,107409, Уголь активированный тб мг N,599,2617914 533 135
117,122488, Немозол таб.п.п.о.мг №,659,2231897 66 151
118,98400, Фестал драже N,601,2723028 544 135
119,158586, PL Шприц одноразовый -комп. мл №,762,2424302 1963 176
120,154819, р-р в глицерине % фл мл N,404,2739710 1982 93
121,44453, Пипетка медицинская глазная в футляре шт N,711,2738823 1059 165
