,index,0
0,168308, Пакет-майка см х см 
1,134832, Перекись водорода р-р наружн. % фл.полимерн. мл 
2,101384, Салициловая кислота р-р спирт % фл мл N 
3,168570, Пакет см х см 
4,146960," Пакет ""Аптека Озерки""  х см "
5,128700, Ранитидин тб мг уп N 
6,52539," Платки носовые ""Зева Кидс"" № "
7,94270, х см № -
8,77426," Иглы Микро-Файн д/шприц-ручки G ,*мм N "
9,92475, Дорзопт капли глазные % мл. фл.-кап. N 
10,158643, PL Шприц одноразовый -комп. мл № 
11,158600, PL Шприц одноразовый -комп. мл № 
12,106230, Аллапинин тб мг N 
13,110629, Корвалол капли д/приема внутрь мл 
14,47251, PL Контейнер д/биопроб стер. мл с крыш и ложкой в инд.уп 
15,39811, PL Салфетка антисептическая спиртовая хсм № 
16,143709, PL вода питьевая негазированная мл 
17,25965, Калия перманганат пор фл г N 
18,158645, PL Шприц одноразовый -комп. мл № 
19,79879, Азитрал капс мг N 
20,100667, PL Аскорбиновая кислота с глюкозой тб мг № 
21,87332, Сульфацил натрия капли глазн % тюб-капел .мл N 
22,21249, Горчичник пакет N 
23,158659, PL Шприц одноразовый -комп. мл № 
24,76206, Трусопт капли глазн % мл фл N 
25,114366, Винпоцетин таб.мг № 
26,34531, Глюкованс табл. п.о.  мг/ мг № 
27,27063, Нафтизин р-р .% фл/кап мл N 
28,20236, Линекс Форте капс. № 
29,99525, Смекта Апельсин пор.  гр. N 
30,116091, Аевит капс N -
31,97117, Цитрамон П таб.№ 
32,160521, Минки Ватные палочки № стакан 
33,94899, Эвкалипта настойка жидк фл мл N 
34,67922, Аскорбиновая кислота драже мг N 
35,98991, Магний-Диаспорал  гран.д/пригот.р-ра д/приема внутрь мг № пакет 
36,90247, Меновазин раствор д/наружн. применен. спиртовой фл. мл 
37,28232, Верошпирон таб.мг № 
38,60404," PL Салфетка антисептическая спиртовая ,х,см № "
39,19578, Шприц одноразовый SF Medical -комп.мл №/СТМ 
40,124839," PL Аскорбинка порошок пак.,г № "
41,42409, Дексаметазон р-р д/ин.  мг/мл. амп.  мл. № 
42,77808, Энтеросгель паста д/приема внутрь туба  гр. 
43,60228, Ацетилсалициловая кислота таб.мг № 
44,110342, Фосфалюгель гель г N 
45,124535, Кэа Хэлс Сенна [листья фильтр-пакеты .г] N 
46,79735, Сенаде тб .мг N 
47,68982, PL Кальция глюконат таб.мг № 
48,135018, Дьюралан мг шприц мл уп.№ 
49,141455, Дона р-р для в/м введения мг амп мл № 
50,148629," Пульмикорт сусп д/инг ,мг/мл контейнер мл N "
51,55357, Слабилен капли .% мл фл N 
52,135427, Тауфон капли глазн % фл  мл. пласт. флак.-кап. 
53,19510," Пульмикорт сусп д/инг ,мг/мл контейнер мл N "
54,66818, PL Аскорбинка с сахаром таб. Клубника № 
55,141996, Ямми Карамель леденцовая с витамином С Вишня г 
56,161562," PL Бальзам для губ Фруктовый микс ,г "
57,155688, Ит Ми Фрутилад батончик Черника г 
58,155686, Ит Ми Фрутилад батончик Апельсин-Брусника г 
59,162991, ЯБудуЖитьЛет Гематоген спортивный г 
60,87663," Глаупрост капли глазные ,% фл.-кап. ,мл № "
61,145608, Диафлекс Ромфарм капс. мг № 
62,108808," Зубная нить ""Oral-B"" Essential Floss Мята м уп № "
63,127911, Румалон р-р для в/м введ. мл № 
64,141757," Шприцы ""BD Emerald"" мл с иглой ,хмм -х комп. № "
65,153569, Минки Платочки бумажные носовые № 
66,115144," Платки носовые ""Зева Делюкс Ромашка"" № "
67,32087, Ямми Турбогематоген детский г 
68,71618," Перчатки ""Peha-soft Vinyl"" виниловые н/стерил.без пудры р-р S № "
69,114395, Нимесил гран.д/приг.суспен.д/приема внутрь мг пак.г № 
70,65122, Пустырник настойка фл.мл 
71,357926, Зизу Платочки бумажные носовые № 
72,94047, Пиона настойка жидк фл мл N 
73,145106, Боярышник [настойка фл мл] N 
74,140683, Престариум А тб мг № 
75,110112," Минеральная вода Зайечицкая горькая ,л. "
76,79642, Парацетамол таб.мг № 
77,215298, Ибупрофен табл.п.о. мг N 
78,75266, PL Комплекс Расторопша-Овес капс.№ 
79,122488, Немозол таб.п.п.о.мг № 
80,98400, Фестал драже N 
81,139676, Аскофен-П таб.№ 
82,155555, Фудо Йод батончик функциональный г 
83,155560, Фудо Железо батончик функциональный г 
84,129205, Ямми Карамель леденцовая с витамином С Клубника г 
85,44867, Жанин др № х  
86,349737, PL Бинт марл мед н/стер м х см уп № 
87,137039," Парацетамол таб.,г № "
88,23345, PL Рыбий жир Микс вкусов для детей капс.№ 
89,66533, Микстура от кашля для взрослых сухая пор д/оралн р-ра .г пак N 
90,22470, PL вода питьевая негазированная мл 
91,37982, НоваРинг Кольцо вагинальное № 
92,129521, Феррогематоген плитка г уп N 
93,115228," Диоксидин р-р д/и ,% амп мл N "
94,137031, Индол Форте капс.  мг № 
95,153754," Цефтриаксон пор.д/р-ра в/в, в/м фл. г "
96,113441, Натрия хлорид .% р-р д/инфуз фл мл № 
97,117000, Борная кислота р-р спирт % фл мл N 
98,23289, ТераФлю от гриппа и простуды пор.д/приг.р-ра д/приема внутрь Лесные Ягоды № 
99,77662, PL Маска медицинская № 
100,124061, Маалокс сусп.д/приема внутрь пак.мл № 
101,83462, Аскорбиновая кислота с глюкозой тб мг N 
102,66485," Тизин Эксперт/Ксило Био спрей наз.доз.фл.с доз.,% мл № "
103,233213," Ангидак спрей д/местного прим.,мг/доза  доз фл.мл "
104,41096, 
105,349770, PL Бинт марл мед стер ГОСТ м х см уп № 
106,138116, Нью Лайф Бинт марл мед н/стер м х см инд.уп/СТМ 
107,349828, PL Бинт марл мед стер м х см уп № 
108,72448, Сенаде тб .мг N 
109,158586, PL Шприц одноразовый -комп. мл № 
110,122170, Пластырь перцовый см х см уп N 
111,130823, Регидрон пор дозир пак .г N 
112,54512, Микстура от кашля для детей сухая пор д/оралн р-ра .г пак N 
113,24719, Лазолван Рино спрей назальный мл 
114,85136, 
115,61946, 
116,32837, Силденафил-СЗ таб.п.п.о. мг № 
117,223540, Супрастин таб.мг № 
118,53779, Аквадетрим вит Д р-р водный МЕ/мл фл  мл № 
119,99218, Тетрациклина гидрохлорид тб п/о мг N 
120,158549, PL Шприц одноразовый инсулиновый мл № 
121,72600, Хилак форте капли д/приема внутрь фл.-кап.мл №+/Промо 
122,106860, PL Контейнер д/биопроб универс. мл полим. с крыш. в инд. уп. 
123,46797, Троксевазин гель % туба г N 
124,356666, Аторвастатин таб.п.п.о.мг № 
125,92189, Мята перечная н-ка фл мл N 
126,60207, Мочеприемник детский мл стер. N 
127,88379, 
128,47059, Стрептоцид пор г пак N 
